#ClusterIdx	#Filename	#SpecIdx	#Scan	#ParentMass	#Charge	#RetTime	#PrecIntensity
1	inputspectra/spec-00000.mzXML	346	-1	411.206	2	192.471	1.586e+06
2	inputspectra/spec-00000.mzXML	267	-1	211.138	1	147.981	1.11014e+06
2	inputspectra/spectwo-00001.mzXML	283	-1	211.144	1	157.657	654916
2	inputspectra/spectwo-00002.mzXML	279	-1	211.144	0	156.545	2.4784e+06
3	inputspectra/spectwo-00000.mzXML	215	-1	227.138	1	119.522	482864
4	inputspectra/spectwo-00001.mzXML	227	-1	229.1	1	126.28	2.97339e+06
5	inputspectra/spec-00000.mzXML	295	-1	245.12	1	163.67	1.42449e+06
5	inputspectra/spec-00000.mzXML	315	-1	245.12	1	174.875	2.77116e+06
5	inputspectra/spec-00000.mzXML	316	-1	245.125	0	175.663	6.5162e+06
5	inputspectra/spec-00000.mzXML	318	-1	245.128	0	176.784	6.20175e+06
5	inputspectra/spec-00000.mzXML	320	-1	245.125	0	177.905	2.49121e+06
5	inputspectra/spectwo-00000.mzXML	313	-1	245.128	1	174.43	1.01178e+06
5	inputspectra/spectwo-00000.mzXML	315	-1	245.128	1	175.551	4.37216e+06
5	inputspectra/spectwo-00000.mzXML	317	-1	245.128	1	176.671	3.82817e+06
5	inputspectra/spectwo-00000.mzXML	319	-1	245.128	1	177.792	1.23782e+06
5	inputspectra/spectwo-00001.mzXML	293	-1	245.128	1	163.259	838360
5	inputspectra/spectwo-00001.mzXML	295	-1	245.128	1	164.38	723636
5	inputspectra/spectwo-00001.mzXML	313	-1	245.128	1	174.465	1.35429e+06
5	inputspectra/spectwo-00001.mzXML	315	-1	245.128	1	175.585	5.0576e+06
5	inputspectra/spectwo-00001.mzXML	317	-1	245.128	0	176.706	5.09688e+06
5	inputspectra/spectwo-00001.mzXML	319	-1	245.128	1	177.826	1.50544e+06
5	inputspectra/spectwo-00002.mzXML	293	-1	245.128	1	164.389	718421
5	inputspectra/spectwo-00002.mzXML	311	-1	245.128	1	174.474	1.24792e+06
5	inputspectra/spectwo-00002.mzXML	313	-1	245.128	1	175.594	4.89048e+06
5	inputspectra/spectwo-00002.mzXML	315	-1	245.128	0	176.715	4.99245e+06
5	inputspectra/spectwo-00002.mzXML	317	-1	245.128	1	177.835	1.49114e+06
6	inputspectra/spectwo-00001.mzXML	1133	-1	251.046	1	633.903	1.21623e+06
6	inputspectra/spectwo-00001.mzXML	1135	-1	251.046	1	635.024	2.52697e+06
6	inputspectra/spectwo-00001.mzXML	1137	-1	251.046	1	636.144	2.21758e+06
6	inputspectra/spectwo-00001.mzXML	1139	-1	251.046	1	637.264	736537
6	inputspectra/spectwo-00002.mzXML	1131	-1	251.046	1	633.915	2.56868e+06
6	inputspectra/spectwo-00002.mzXML	1133	-1	251.046	1	635.036	4.65856e+06
6	inputspectra/spectwo-00002.mzXML	1135	-1	251.046	1	636.157	4.23977e+06
6	inputspectra/spectwo-00002.mzXML	1137	-1	251.046	1	637.277	1.60778e+06
7	inputspectra/spec-00000.mzXML	185	-1	261.115	1	102.038	765928
7	inputspectra/spec-00000.mzXML	192	-1	261.115	1	106.188	2.1631e+06
7	inputspectra/spec-00000.mzXML	194	-1	261.115	1	107.308	2.68105e+06
7	inputspectra/spec-00000.mzXML	196	-1	261.115	1	108.429	1.40991e+06
7	inputspectra/spec-00000.mzXML	239	-1	261.115	1	132.295	936332
7	inputspectra/spectwo-00000.mzXML	193	-1	261.122	1	107.196	1.63949e+06
7	inputspectra/spectwo-00001.mzXML	191	-1	261.122	1	106.109	1.60421e+06
7	inputspectra/spectwo-00001.mzXML	193	-1	261.122	1	107.229	1.82278e+06
7	inputspectra/spectwo-00002.mzXML	189	-1	261.122	1	106.119	1.5974e+06
7	inputspectra/spectwo-00002.mzXML	191	-1	261.122	1	107.239	1.7715e+06
7	inputspectra/spectwo-00002.mzXML	194	-1	261.122	1	108.693	450348
8	inputspectra/spectwo-00001.mzXML	303	-1	296.166	1	168.862	313642
9	inputspectra/spectwo-00002.mzXML	895	-1	327.076	1	501.689	1.1259e+06
9	inputspectra/spectwo-00002.mzXML	897	-1	327.076	1	502.81	1.49107e+06
9	inputspectra/spectwo-00002.mzXML	899	-1	327.076	1	503.93	764860
10	inputspectra/spec-00000.mzXML	1427	-1	338.331	1	797.893	1.44722e+06
10	inputspectra/spec-00000.mzXML	1428	-1	338.331	1	798.681	2.21268e+06
10	inputspectra/spec-00000.mzXML	1430	-1	338.331	0	799.802	2.83963e+06
10	inputspectra/spec-00000.mzXML	1432	-1	338.331	1	800.922	1.81058e+06
10	inputspectra/spec-00000.mzXML	1435	-1	338.331	1	802.375	604820
10	inputspectra/spectwo-00000.mzXML	1427	-1	338.34	1	798.597	873164
10	inputspectra/spectwo-00000.mzXML	1429	-1	338.34	1	799.718	1.11288e+06
10	inputspectra/spectwo-00000.mzXML	1431	-1	338.34	1	800.838	904037
10	inputspectra/spectwo-00000.mzXML	1433	-1	338.34	1	801.959	454960
10	inputspectra/spectwo-00001.mzXML	1425	-1	338.34	1	797.506	579951
10	inputspectra/spectwo-00001.mzXML	1427	-1	338.34	1	798.627	1.23167e+06
10	inputspectra/spectwo-00001.mzXML	1429	-1	338.34	1	799.748	1.50199e+06
10	inputspectra/spectwo-00001.mzXML	1431	-1	338.34	1	800.868	1.24627e+06
10	inputspectra/spectwo-00001.mzXML	1433	-1	338.34	1	801.989	610342
10	inputspectra/spectwo-00001.mzXML	1435	-1	338.34	1	803.109	198648
10	inputspectra/spectwo-00002.mzXML	1421	-1	338.34	1	796.396	384357
10	inputspectra/spectwo-00002.mzXML	1423	-1	338.34	1	797.516	1.0159e+06
10	inputspectra/spectwo-00002.mzXML	1425	-1	338.34	1	798.637	1.899e+06
10	inputspectra/spectwo-00002.mzXML	1427	-1	338.34	1	799.757	2.40405e+06
10	inputspectra/spectwo-00002.mzXML	1429	-1	338.34	1	800.877	1.94059e+06
10	inputspectra/spectwo-00002.mzXML	1431	-1	338.34	1	801.998	1.10012e+06
10	inputspectra/spectwo-00002.mzXML	1433	-1	338.34	1	803.119	313355
11	inputspectra/spec-00000.mzXML	562	-1	350.113	1	313.49	2.3868e+06
11	inputspectra/spec-00000.mzXML	564	-1	350.113	1	314.611	1.02218e+07
11	inputspectra/spec-00000.mzXML	566	-1	350.113	0	315.731	1.28562e+07
11	inputspectra/spec-00000.mzXML	568	-1	350.113	1	316.852	4.85904e+06
11	inputspectra/spec-00000.mzXML	570	-1	350.113	1	317.972	1.37783e+06
11	inputspectra/spectwo-00000.mzXML	562	-1	350.121	0	313.714	2.16186e+06
11	inputspectra/spectwo-00000.mzXML	563	-1	350.121	1	314.501	5.51797e+06
11	inputspectra/spectwo-00000.mzXML	565	-1	350.121	1	315.622	6.52578e+06
11	inputspectra/spectwo-00000.mzXML	567	-1	350.121	1	316.743	2.52802e+06
11	inputspectra/spectwo-00001.mzXML	561	-1	350.122	1	313.417	2.36634e+06
11	inputspectra/spectwo-00001.mzXML	563	-1	350.122	1	314.537	8.40141e+06
11	inputspectra/spectwo-00001.mzXML	565	-1	350.122	1	315.658	7.1777e+06
11	inputspectra/spectwo-00001.mzXML	567	-1	350.122	1	316.778	2.19949e+06
11	inputspectra/spectwo-00002.mzXML	559	-1	350.121	1	313.425	1.64973e+06
11	inputspectra/spectwo-00002.mzXML	561	-1	350.121	1	314.545	7.05959e+06
11	inputspectra/spectwo-00002.mzXML	563	-1	350.121	1	315.666	7.12833e+06
11	inputspectra/spectwo-00002.mzXML	565	-1	350.121	1	316.787	2.52266e+06
12	inputspectra/spectwo-00000.mzXML	991	-1	371.099	1	554.306	1.37433e+06
12	inputspectra/spectwo-00000.mzXML	993	-1	371.099	1	555.427	1.84463e+06
12	inputspectra/spectwo-00000.mzXML	995	-1	371.099	1	556.548	1.25284e+06
12	inputspectra/spectwo-00000.mzXML	1268	-1	371.099	1	709.276	2.09928e+06
12	inputspectra/spectwo-00000.mzXML	1269	-1	371.099	1	710.063	2.25362e+06
12	inputspectra/spectwo-00000.mzXML	1271	-1	371.099	1	711.184	1.29109e+06
12	inputspectra/spectwo-00001.mzXML	991	-1	371.1	1	554.343	971484
12	inputspectra/spectwo-00001.mzXML	993	-1	371.1	1	555.463	1.25671e+06
12	inputspectra/spectwo-00001.mzXML	1268	-1	371.1	1	709.316	1.50377e+06
12	inputspectra/spectwo-00001.mzXML	1270	-1	371.1	1	710.437	1.58499e+06
12	inputspectra/spectwo-00002.mzXML	989	-1	371.1	1	554.358	1.54709e+06
12	inputspectra/spectwo-00002.mzXML	991	-1	371.1	1	555.478	1.94807e+06
12	inputspectra/spectwo-00002.mzXML	993	-1	371.1	1	556.6	1.12188e+06
12	inputspectra/spectwo-00002.mzXML	1265	-1	371.1	1	708.993	2.04527e+06
12	inputspectra/spectwo-00002.mzXML	1267	-1	371.1	1	710.113	2.58758e+06
12	inputspectra/spectwo-00002.mzXML	1269	-1	371.1	1	711.234	1.55488e+06
13	inputspectra/spectwo-00000.mzXML	1280	-1	395.218	1	715.999	698839
13	inputspectra/spectwo-00000.mzXML	1282	-1	395.218	1	717.119	648562
13	inputspectra/spectwo-00000.mzXML	1284	-1	395.218	1	718.24	430570
13	inputspectra/spectwo-00001.mzXML	1280	-1	395.218	1	716.039	458997
13	inputspectra/spectwo-00001.mzXML	1282	-1	395.218	1	717.159	391192
13	inputspectra/spectwo-00001.mzXML	1284	-1	395.218	1	718.28	290323
13	inputspectra/spectwo-00002.mzXML	1277	-1	395.218	1	715.716	625011
13	inputspectra/spectwo-00002.mzXML	1279	-1	395.218	1	716.837	600951
13	inputspectra/spectwo-00002.mzXML	1281	-1	395.218	1	717.957	446462
14	inputspectra/spec-00000.mzXML	1254	-1	408.295	1	701.195	654886
14	inputspectra/spec-00000.mzXML	1256	-1	408.295	1	702.316	769975
14	inputspectra/spec-00000.mzXML	1258	-1	408.295	1	703.437	597070
14	inputspectra/spec-00000.mzXML	1277	-1	408.295	1	713.855	455881
14	inputspectra/spec-00000.mzXML	1279	-1	408.295	1	714.975	514713
15	inputspectra/spectwo-00002.mzXML	742	-1	418.241	1	415.733	465635
16	inputspectra/spectwo-00002.mzXML	819	-1	432.257	1	459.107	932803
16	inputspectra/spectwo-00002.mzXML	822	-1	432.257	1	460.56	692616
17	inputspectra/spectwo-00000.mzXML	1139	-1	445.118	1	637.23	1.69008e+06
17	inputspectra/spectwo-00000.mzXML	1141	-1	445.118	1	638.35	2.92313e+06
17	inputspectra/spectwo-00000.mzXML	1143	-1	445.118	1	639.471	2.2683e+06
17	inputspectra/spectwo-00000.mzXML	1145	-1	445.118	1	640.592	858178
17	inputspectra/spectwo-00001.mzXML	1140	-1	445.119	1	637.597	1.59351e+06
17	inputspectra/spectwo-00001.mzXML	1141	-1	445.119	1	638.385	2.05611e+06
17	inputspectra/spectwo-00001.mzXML	1143	-1	445.119	1	639.505	1.51766e+06
17	inputspectra/spectwo-00002.mzXML	1138	-1	445.118	1	637.61	2.24129e+06
17	inputspectra/spectwo-00002.mzXML	1139	-1	445.118	1	638.397	3.0548e+06
17	inputspectra/spectwo-00002.mzXML	1141	-1	445.118	1	639.517	2.3571e+06
17	inputspectra/spectwo-00002.mzXML	1143	-1	445.118	1	640.638	798855
18	inputspectra/spec-00000.mzXML	565	-1	453.055	1	314.943	3.15183e+06
18	inputspectra/spec-00000.mzXML	567	-1	453.055	1	316.064	3.03546e+06
18	inputspectra/spec-00000.mzXML	569	-1	453.055	1	317.184	1.98766e+06
19	inputspectra/spectwo-00000.mzXML	1544	-1	515.41	1	863.931	619379
19	inputspectra/spectwo-00000.mzXML	1548	-1	515.41	1	866.173	646987
19	inputspectra/spectwo-00001.mzXML	1534	-1	515.41	1	858.348	615802
19	inputspectra/spectwo-00001.mzXML	1540	-1	515.41	1	861.709	856305
19	inputspectra/spectwo-00001.mzXML	1544	-1	515.41	1	863.95	968558
19	inputspectra/spectwo-00001.mzXML	1546	-1	515.41	1	865.071	937335
19	inputspectra/spectwo-00001.mzXML	1548	-1	515.41	1	866.192	1.03617e+06
19	inputspectra/spectwo-00001.mzXML	1550	-1	515.41	1	867.312	1.05857e+06
19	inputspectra/spectwo-00001.mzXML	1552	-1	515.41	1	868.433	990501
19	inputspectra/spectwo-00001.mzXML	1554	-1	515.41	1	869.554	965986
19	inputspectra/spectwo-00001.mzXML	1558	-1	515.41	1	871.796	882164
19	inputspectra/spectwo-00001.mzXML	1564	-1	515.41	1	875.158	723932
19	inputspectra/spectwo-00002.mzXML	1552	-1	515.409	1	869.563	733689
19	inputspectra/spectwo-00002.mzXML	1556	-1	515.409	1	871.804	685723
20	inputspectra/spectwo-00001.mzXML	1430	-1	521.115	1	800.08	380282
20	inputspectra/spectwo-00002.mzXML	1426	-1	521.115	1	798.97	737450
20	inputspectra/spectwo-00002.mzXML	1428	-1	521.115	1	800.09	592641
20	inputspectra/spectwo-00002.mzXML	1430	-1	521.115	1	801.21	275423
21	inputspectra/spectwo-00001.mzXML	1455	-1	531.406	1	814.315	334952
21	inputspectra/spectwo-00001.mzXML	1457	-1	531.406	1	815.436	529479
21	inputspectra/spectwo-00001.mzXML	1459	-1	531.406	1	816.556	807074
21	inputspectra/spectwo-00001.mzXML	1461	-1	531.406	1	817.677	1.02259e+06
21	inputspectra/spectwo-00001.mzXML	1463	-1	531.406	1	818.798	1.26366e+06
21	inputspectra/spectwo-00001.mzXML	1465	-1	531.406	1	819.918	1.41124e+06
21	inputspectra/spectwo-00001.mzXML	1467	-1	531.406	1	821.038	1.43187e+06
21	inputspectra/spectwo-00001.mzXML	1469	-1	531.406	1	822.159	1.17783e+06
21	inputspectra/spectwo-00001.mzXML	1471	-1	531.406	1	823.279	927956
21	inputspectra/spectwo-00001.mzXML	1473	-1	531.406	1	824.4	691750
21	inputspectra/spectwo-00001.mzXML	1475	-1	531.406	1	825.52	409717
22	inputspectra/spec-00000.mzXML	1243	-1	536.147	1	694.806	1.27897e+06
22	inputspectra/spec-00000.mzXML	1245	-1	536.147	1	695.926	1.35995e+06
22	inputspectra/spec-00000.mzXML	1247	-1	536.147	1	697.046	1.42482e+06
22	inputspectra/spec-00000.mzXML	1248	-1	536.147	1	697.834	1.52664e+06
22	inputspectra/spec-00000.mzXML	1250	-1	536.147	1	698.954	1.49411e+06
22	inputspectra/spec-00000.mzXML	1252	-1	536.147	1	700.075	1.57656e+06
22	inputspectra/spec-00000.mzXML	1255	-1	536.147	1	701.528	1.52223e+06
22	inputspectra/spec-00000.mzXML	1260	-1	536.147	1	704.558	1.89334e+06
22	inputspectra/spec-00000.mzXML	1262	-1	536.147	1	705.678	2.03322e+06
22	inputspectra/spec-00000.mzXML	1264	-1	536.147	1	706.799	2.03975e+06
22	inputspectra/spec-00000.mzXML	1266	-1	536.147	1	707.919	2.02975e+06
22	inputspectra/spec-00000.mzXML	1268	-1	536.147	1	709.04	2.24213e+06
22	inputspectra/spec-00000.mzXML	1270	-1	536.147	1	710.16	2.03595e+06
22	inputspectra/spec-00000.mzXML	1272	-1	536.147	1	711.281	1.91197e+06
22	inputspectra/spec-00000.mzXML	1274	-1	536.147	1	712.401	1.74447e+06
22	inputspectra/spec-00000.mzXML	1276	-1	536.147	1	713.522	1.50964e+06
22	inputspectra/spec-00000.mzXML	1278	-1	536.147	1	714.643	1.48485e+06
22	inputspectra/spec-00000.mzXML	1287	-1	536.147	1	719.457	1.33186e+06
22	inputspectra/spec-00000.mzXML	1288	-1	536.147	1	720.245	1.49717e+06
22	inputspectra/spec-00000.mzXML	1291	-1	536.147	1	721.699	1.34168e+06
22	inputspectra/spectwo-00000.mzXML	1168	-1	536.163	1	653.252	1.45446e+06
22	inputspectra/spectwo-00000.mzXML	1170	-1	536.163	1	654.372	1.55931e+06
22	inputspectra/spectwo-00000.mzXML	1172	-1	536.163	1	655.492	1.61743e+06
22	inputspectra/spectwo-00000.mzXML	1174	-1	536.163	1	656.613	1.64727e+06
22	inputspectra/spectwo-00000.mzXML	1176	-1	536.163	1	657.734	1.70955e+06
22	inputspectra/spectwo-00000.mzXML	1178	-1	536.163	1	658.854	1.70896e+06
22	inputspectra/spectwo-00000.mzXML	1180	-1	536.163	1	659.975	1.85174e+06
22	inputspectra/spectwo-00000.mzXML	1182	-1	536.163	1	661.096	1.78118e+06
22	inputspectra/spectwo-00000.mzXML	1186	-1	536.163	1	663.336	1.98811e+06
22	inputspectra/spectwo-00000.mzXML	1188	-1	536.163	1	664.457	2.12988e+06
22	inputspectra/spectwo-00000.mzXML	1190	-1	536.163	1	665.577	2.22128e+06
22	inputspectra/spectwo-00000.mzXML	1192	-1	536.163	1	666.698	2.2422e+06
22	inputspectra/spectwo-00000.mzXML	1194	-1	536.163	1	667.818	2.23728e+06
22	inputspectra/spectwo-00000.mzXML	1196	-1	536.163	1	668.939	2.35711e+06
22	inputspectra/spectwo-00000.mzXML	1198	-1	536.163	1	670.059	2.46372e+06
22	inputspectra/spectwo-00000.mzXML	1200	-1	536.163	1	671.179	2.53316e+06
22	inputspectra/spectwo-00000.mzXML	1201	-1	536.163	1	671.967	2.60533e+06
22	inputspectra/spectwo-00000.mzXML	1203	-1	536.163	1	673.087	2.61764e+06
22	inputspectra/spectwo-00000.mzXML	1205	-1	536.163	1	674.208	2.82155e+06
22	inputspectra/spectwo-00000.mzXML	1207	-1	536.163	1	675.328	2.80634e+06
22	inputspectra/spectwo-00000.mzXML	1209	-1	536.163	1	676.449	2.48774e+06
22	inputspectra/spectwo-00000.mzXML	1211	-1	536.163	1	677.57	2.41038e+06
22	inputspectra/spectwo-00000.mzXML	1213	-1	536.163	1	678.69	2.73377e+06
22	inputspectra/spectwo-00000.mzXML	1215	-1	536.163	1	679.81	3.11346e+06
22	inputspectra/spectwo-00000.mzXML	1217	-1	536.163	1	680.93	3.35548e+06
22	inputspectra/spectwo-00000.mzXML	1219	-1	536.163	1	682.051	3.3859e+06
22	inputspectra/spectwo-00000.mzXML	1221	-1	536.163	1	683.172	3.54919e+06
22	inputspectra/spectwo-00000.mzXML	1223	-1	536.163	1	684.292	3.58434e+06
22	inputspectra/spectwo-00000.mzXML	1225	-1	536.163	1	685.414	3.83772e+06
22	inputspectra/spectwo-00000.mzXML	1227	-1	536.163	1	686.534	3.58769e+06
22	inputspectra/spectwo-00000.mzXML	1229	-1	536.163	1	687.654	3.03863e+06
22	inputspectra/spectwo-00000.mzXML	1231	-1	536.163	1	688.774	2.38067e+06
22	inputspectra/spectwo-00000.mzXML	1233	-1	536.163	1	689.895	3.13926e+06
22	inputspectra/spectwo-00000.mzXML	1235	-1	536.163	1	691.016	4.06562e+06
22	inputspectra/spectwo-00000.mzXML	1237	-1	536.163	1	692.136	4.40617e+06
22	inputspectra/spectwo-00000.mzXML	1239	-1	536.163	1	693.257	4.56164e+06
22	inputspectra/spectwo-00000.mzXML	1241	-1	536.163	1	694.377	4.50257e+06
22	inputspectra/spectwo-00000.mzXML	1243	-1	536.163	1	695.498	4.68333e+06
22	inputspectra/spectwo-00000.mzXML	1245	-1	536.163	1	696.618	5.0727e+06
22	inputspectra/spectwo-00000.mzXML	1247	-1	536.163	1	697.739	5.20978e+06
22	inputspectra/spectwo-00000.mzXML	1249	-1	536.163	1	698.86	5.24749e+06
22	inputspectra/spectwo-00000.mzXML	1251	-1	536.163	1	699.98	5.2588e+06
22	inputspectra/spectwo-00000.mzXML	1253	-1	536.163	1	701.1	5.44422e+06
22	inputspectra/spectwo-00000.mzXML	1255	-1	536.163	1	702.221	5.46768e+06
22	inputspectra/spectwo-00000.mzXML	1257	-1	536.163	1	703.341	5.53574e+06
22	inputspectra/spectwo-00000.mzXML	1259	-1	536.163	1	704.461	5.42157e+06
22	inputspectra/spectwo-00000.mzXML	1261	-1	536.163	1	705.582	5.31001e+06
22	inputspectra/spectwo-00000.mzXML	1263	-1	536.163	1	706.702	5.0255e+06
22	inputspectra/spectwo-00000.mzXML	1265	-1	536.163	1	707.823	4.69792e+06
22	inputspectra/spectwo-00000.mzXML	1267	-1	536.163	1	708.943	4.17143e+06
22	inputspectra/spectwo-00000.mzXML	1270	-1	536.163	1	710.396	3.50991e+06
22	inputspectra/spectwo-00000.mzXML	1272	-1	536.163	1	711.516	3.67274e+06
22	inputspectra/spectwo-00000.mzXML	1273	-1	536.163	1	712.304	3.49161e+06
22	inputspectra/spectwo-00000.mzXML	1275	-1	536.163	1	713.425	1.89402e+06
22	inputspectra/spectwo-00000.mzXML	1288	-1	536.163	1	720.48	1.37761e+06
22	inputspectra/spectwo-00000.mzXML	1292	-1	536.163	1	722.721	1.08331e+06
22	inputspectra/spectwo-00001.mzXML	1108	-1	536.164	1	619.67	684465
22	inputspectra/spectwo-00001.mzXML	1110	-1	536.164	1	620.79	691186
22	inputspectra/spectwo-00001.mzXML	1112	-1	536.164	1	621.911	733332
22	inputspectra/spectwo-00001.mzXML	1114	-1	536.164	1	623.031	785191
22	inputspectra/spectwo-00001.mzXML	1116	-1	536.164	1	624.151	795020
22	inputspectra/spectwo-00001.mzXML	1117	-1	536.164	1	624.939	812096
22	inputspectra/spectwo-00001.mzXML	1122	-1	536.164	1	627.514	864307
22	inputspectra/spectwo-00001.mzXML	1123	-1	536.164	1	628.301	883822
22	inputspectra/spectwo-00001.mzXML	1125	-1	536.164	1	629.422	948059
22	inputspectra/spectwo-00001.mzXML	1128	-1	536.164	1	630.875	996291
22	inputspectra/spectwo-00001.mzXML	1129	-1	536.164	1	631.663	1.00242e+06
22	inputspectra/spectwo-00001.mzXML	1131	-1	536.164	1	632.783	1.02592e+06
22	inputspectra/spectwo-00001.mzXML	1134	-1	536.164	1	634.236	1.06449e+06
22	inputspectra/spectwo-00001.mzXML	1146	-1	536.164	1	640.958	1.35594e+06
22	inputspectra/spectwo-00001.mzXML	1147	-1	536.164	1	641.746	1.42602e+06
22	inputspectra/spectwo-00001.mzXML	1149	-1	536.164	1	642.867	1.46947e+06
22	inputspectra/spectwo-00001.mzXML	1151	-1	536.164	1	643.987	1.56054e+06
22	inputspectra/spectwo-00001.mzXML	1153	-1	536.164	1	645.108	1.60099e+06
22	inputspectra/spectwo-00001.mzXML	1155	-1	536.164	1	646.229	1.69334e+06
22	inputspectra/spectwo-00001.mzXML	1157	-1	536.164	1	647.349	1.68397e+06
22	inputspectra/spectwo-00001.mzXML	1159	-1	536.164	1	648.47	1.75839e+06
22	inputspectra/spectwo-00001.mzXML	1161	-1	536.164	1	649.59	1.85564e+06
22	inputspectra/spectwo-00001.mzXML	1163	-1	536.164	1	650.71	1.96037e+06
22	inputspectra/spectwo-00001.mzXML	1165	-1	536.164	1	651.831	1.97664e+06
22	inputspectra/spectwo-00001.mzXML	1167	-1	536.164	1	652.952	2.06076e+06
22	inputspectra/spectwo-00001.mzXML	1169	-1	536.164	1	654.072	2.2066e+06
22	inputspectra/spectwo-00001.mzXML	1171	-1	536.164	1	655.193	2.31102e+06
22	inputspectra/spectwo-00001.mzXML	1173	-1	536.164	1	656.313	2.32701e+06
22	inputspectra/spectwo-00001.mzXML	1175	-1	536.164	1	657.433	2.40772e+06
22	inputspectra/spectwo-00001.mzXML	1177	-1	536.164	1	658.554	2.59642e+06
22	inputspectra/spectwo-00001.mzXML	1179	-1	536.164	1	659.675	2.70324e+06
22	inputspectra/spectwo-00001.mzXML	1181	-1	536.164	1	660.796	2.81014e+06
22	inputspectra/spectwo-00001.mzXML	1183	-1	536.164	1	661.916	2.8898e+06
22	inputspectra/spectwo-00001.mzXML	1185	-1	536.164	1	663.037	3.0951e+06
22	inputspectra/spectwo-00001.mzXML	1188	-1	536.164	1	664.49	3.28347e+06
22	inputspectra/spectwo-00001.mzXML	1189	-1	536.164	1	665.278	3.31658e+06
22	inputspectra/spectwo-00001.mzXML	1191	-1	536.164	1	666.398	3.43264e+06
22	inputspectra/spectwo-00001.mzXML	1193	-1	536.164	1	667.519	3.61552e+06
22	inputspectra/spectwo-00001.mzXML	1195	-1	536.164	1	668.639	3.74804e+06
22	inputspectra/spectwo-00001.mzXML	1197	-1	536.164	1	669.76	3.91994e+06
22	inputspectra/spectwo-00001.mzXML	1199	-1	536.164	1	670.88	3.97356e+06
22	inputspectra/spectwo-00001.mzXML	1201	-1	536.164	1	672.001	4.23585e+06
22	inputspectra/spectwo-00001.mzXML	1203	-1	536.164	1	673.122	4.40312e+06
22	inputspectra/spectwo-00001.mzXML	1205	-1	536.164	1	674.243	4.60053e+06
22	inputspectra/spectwo-00001.mzXML	1207	-1	536.164	1	675.363	4.82202e+06
22	inputspectra/spectwo-00001.mzXML	1209	-1	536.164	1	676.484	4.85577e+06
22	inputspectra/spectwo-00001.mzXML	1211	-1	536.164	1	677.604	4.74342e+06
22	inputspectra/spectwo-00001.mzXML	1213	-1	536.164	1	678.725	5.12349e+06
22	inputspectra/spectwo-00001.mzXML	1215	-1	536.164	1	679.846	5.385e+06
22	inputspectra/spectwo-00001.mzXML	1217	-1	536.164	1	680.967	5.66288e+06
22	inputspectra/spectwo-00001.mzXML	1219	-1	536.164	1	682.087	5.88825e+06
22	inputspectra/spectwo-00001.mzXML	1221	-1	536.164	1	683.208	5.93858e+06
22	inputspectra/spectwo-00001.mzXML	1223	-1	536.164	1	684.328	6.05874e+06
22	inputspectra/spectwo-00001.mzXML	1225	-1	536.164	1	685.449	6.31351e+06
22	inputspectra/spectwo-00001.mzXML	1227	-1	536.164	1	686.57	6.5962e+06
22	inputspectra/spectwo-00001.mzXML	1229	-1	536.164	1	687.69	6.20464e+06
22	inputspectra/spectwo-00001.mzXML	1231	-1	536.164	1	688.811	6.45151e+06
22	inputspectra/spectwo-00001.mzXML	1233	-1	536.164	1	689.932	6.83774e+06
22	inputspectra/spectwo-00001.mzXML	1235	-1	536.164	1	691.052	7.4492e+06
22	inputspectra/spectwo-00001.mzXML	1237	-1	536.164	1	692.174	7.39045e+06
22	inputspectra/spectwo-00001.mzXML	1239	-1	536.164	1	693.295	7.97871e+06
22	inputspectra/spectwo-00001.mzXML	1241	-1	536.164	1	694.415	8.11341e+06
22	inputspectra/spectwo-00001.mzXML	1243	-1	536.164	1	695.536	8.37622e+06
22	inputspectra/spectwo-00001.mzXML	1245	-1	536.164	1	696.656	8.77135e+06
22	inputspectra/spectwo-00001.mzXML	1247	-1	536.164	1	697.777	9.16477e+06
22	inputspectra/spectwo-00001.mzXML	1249	-1	536.164	1	698.898	9.26229e+06
22	inputspectra/spectwo-00001.mzXML	1251	-1	536.164	1	700.018	9.1831e+06
22	inputspectra/spectwo-00001.mzXML	1253	-1	536.164	1	701.139	9.61944e+06
22	inputspectra/spectwo-00001.mzXML	1255	-1	536.164	1	702.26	9.63056e+06
22	inputspectra/spectwo-00001.mzXML	1257	-1	536.164	1	703.38	9.38309e+06
22	inputspectra/spectwo-00001.mzXML	1259	-1	536.164	1	704.501	9.24348e+06
22	inputspectra/spectwo-00001.mzXML	1261	-1	536.164	1	705.621	9.24657e+06
22	inputspectra/spectwo-00001.mzXML	1263	-1	536.164	1	706.742	8.84692e+06
22	inputspectra/spectwo-00001.mzXML	1265	-1	536.164	1	707.863	8.12518e+06
22	inputspectra/spectwo-00001.mzXML	1267	-1	536.164	1	708.983	7.32162e+06
22	inputspectra/spectwo-00001.mzXML	1269	-1	536.164	1	710.104	6.77219e+06
22	inputspectra/spectwo-00001.mzXML	1271	-1	536.164	1	711.225	6.26746e+06
22	inputspectra/spectwo-00001.mzXML	1273	-1	536.164	1	712.345	5.93794e+06
22	inputspectra/spectwo-00001.mzXML	1275	-1	536.164	1	713.466	4.98716e+06
22	inputspectra/spectwo-00001.mzXML	1277	-1	536.164	1	714.586	2.33072e+06
22	inputspectra/spectwo-00001.mzXML	1279	-1	536.164	1	715.706	1.64369e+06
